UserID,Review_Text,Date,NumberOfVisit,Satisfaction,Taste Positive,Taste Negative,Service,Price
illiiilillil,직원 분들 너무 친절하시고 음식 맛은 대한민국 호텔 뷔페 넘버 원인데 말해 뭐 해입니다 조금씩 일찍 입장시켜주시는 융통성도 좋아요 쪼금 아쉬운 건 의 외로 과일류 구색이 약하다는 거,2024년 5월 19일 일요일,1번째 방문,긍정,['대상 없음'],['과일류'],긍정,-
shooooooo,종류도 알차게 많고 다 맛있어요,2024년 6월 7일 금요일,1번째 방문,긍정,-,-,긍정,긍정
Choigo다,신라호텔 파크뷰 조식 이용했습니다 11층이라 뷰도 훌륭하고 객실 컨디션이나 청결 서비스 상태 좋고 직원 분들이 매우 친절하시고 어디에나 어느 곳이든 다 상주해 계셔서 호텔 서비스 이용하는데 매우 편했습니다 물론 5성급 호텔이라서 숙박비나 발레 파킹 비용이 비싼 편이지만 돈 쓰러 오는 곳인 만큼 가치 있어요,2024년 3월 3일 일요일,1번째 방문,긍정,-,-,긍정,긍정
shekyh,창가 자리는 보기만 하고 부스 좌석 안내받음 안락하고 좋았어요 대게는 차갑고 짜고 짜장면 도 삭면은 불어 있고 문어 숙회는 너무 안 익은 느낌 양 갈비 맛있었어요 딸기 달달 한라봉 새콤달콤 약 15분 정도 일찍 입장해서 좋았지만 모든 음식 코너에 긴 줄 디저트부터 시작했네요 직원 분들 서비스가 너무 좋아서 모든 게 커버되는 거 같아요,2024년 2월 3일 토요일,1번째 방문,긍정,"['대게', '-', '양갈비', '딸기', '-']","['짜장면', '문어 숙회', '-']",긍정,긍정
이진욱쨩,항상 친절하시고 음식도 맛있네요,2024년 4월 21일 일요일,2번째 방문,긍정,-,-,긍정,-
KSL1,분위기도 너무 좋고 음식 하나하나 다 만족해하며 맛있게 먹고 왔습니다 샐러드 킹크랩 스 시 모든 재료가 싱싱하고 맛있습니다 고기 디저트로 버 분들 여기 무조건 추천드립니다 만족한 저녁 식사였습니다,2023년 12월 13일 수요일,1번째 방문,긍정,-,-,긍정,긍정
juehhhhh,부모님 효도 여행으로 방문 신라호텔 호킹 스도 시켜드리고 뷔페도 먹었는데 만족해하시더라고요 다른 뷔페들보다 더 맛있다고 하셔서 뿌듯했습니다,2024년 2월 25일 일요일,1번째 방문,긍정,['뷔페'],['대상 없음'],긍정,긍정
Reinyourheart,신라호텔이 호텔 뷔페 중 1등이라고 생각하는데 이번에도 그 생각이 공고해졌습니다 음식 퀄리티가 최상입니다 가 짓수도 많고요 디저트의 퀄리티도 남 다릅니다,2024년 1월 9일 화요일,1번째 방문,긍정,['음식 퀄리티가 최상'],['대상 없음'],긍정,-
블리랩,평일 저녁 식사하러 방문하였습니다 서울에 있는 거의 모든 호텔 뷔페는 다 가 봤지만 파크뷰만 한 곳이 없는 거 같기도 해요 덕분에 기 분 좋은 저녁 식사와 함께 즐거운 시간 보내고 왔습니다 메뉴 구성도 알차고 바로바로 내어주시는 음식 덕분에 역시 더 파크뷰네요 하고 말할 수 있네요,2023년 11월 14일 화요일,1번째 방문,긍정,-,-,긍정,-
미국주식왕,네 번째 방문만에 창가 자리에서 먹게 되어서 기쁨 그리고 카페라테 맛집,2024년 3월 10일 일요일,1번째 방문,긍정,-,-,긍정,긍정
이린스타일,연말에 평일 디너를 어떻게든 다녀왔었습니다 사람이 많았지만 즐거웠고 구성이 알차서 좋았어요,2023년 12월 14일 목요일,1번째 방문,긍정,-,-,긍정,부정
헝겉,주차타워에 대고 셔틀 혹은 걸어서 이동합니다 비용이 조금 세긴 하지만 디너 뷔페로 오시는 거 추천하고 각자 소중한 사람들과 특별한 시간 보내기 좋습니다,2023년 12월 2일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,부정
A8뜨뚜,신라호텔 더 파크뷰 뷔페인 당 가격대가 잇지만 대게나 음식 퀄리티가 좋아요 간도 딱 좋고 전체적으로 종류의 밸런스가 좋았습니다 직원 분들 친절하시고 주차도 편해요 가족 단위 손님들이 많으시더라고 요 특별한 날 가족들과 오기에 좋은 거 같아요,2023년 10월 1일 일요일,1번째 방문,긍정,-,-,긍정,긍정
Jessica Park,몇 번 갈 때마다 늘 테이블이 협소한 게 가장 아쉽지만 22일 생일이라 디너로 갔는데 서비스도 메뉴도 대 만족입니다,2023년 12월 22일 금요일,1번째 방문,긍정,-,-,긍정,긍정
민트쵸코75,디저트류가 좋았어요,2024년 4월 10일 수요일,1번째 방문,긍정,-,-,긍정,-
DEAN KIL,비싸지만 좋은 곳,2024년 5월 4일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,부정
CTStory,240218 또 너무 비쌈 애슐리 퀸즈가 최고인 듯,2024년 2월 17일 토요일,1번째 방문,긍정,['애슐리 퀸즈'],['대상 없음'],부정,부정
yr0****,와이프 생일에 처음 가본 호텔 뷔페 최고였어요 아이를 위한 도화지와 색연필까지 감동이네요 재방문 의사 100입니다 대게랑 양 갈비 안심스테이크는 사랑입니다 디저트 및 과일 모두 최고였어요,2023년 11월 4일 토요일,1번째 방문,긍정,-,-,긍정,긍정
예예예예예84,비싼 만큼 서비스와 맛이 있어요 특별한 날 부모님과 함께 오기 좋아요,2024년 2월 3일 토요일,1번째 방문,긍정,['맛이 있어요'],['대상 없음'],긍정,긍정
ERANGMAM,아기가 스테이크 너무 잘 먹었어요 언제나 더 파크뷰는 흠이 없어요 친절함과 식사의 품질은 어느 곳과 비교가 되 질 않아요,2024년 1월 3일 수요일,2번째 방문,긍정,['대상 없음'],['-'],긍정,-
까꿍쓰마미,가격 대비 면 그냥 그랬음 대게로 뽕 뽑으라는데 막상 너무 차가 워서 쉽게 물림 다른 것들도 하나씩 먹었는데 맛있다 정도 디카페인 바닐라 라테 맛났음 아이스크림 필수,2024년 1월 15일 월요일,1번째 방문,부정,['아이스크림'],['대게'],부정,-
아침햇살미소,연말 모임 하기 좋아요 회랑 대게 디저트까지 푸짐해요,2023년 12월 7일 목요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
이진욱쨩,너무 친절 음식도 너무 맛있어요 역시 신라호텔 체고,2023년 11월 19일 일요일,1번째 방문,긍정,['음식'],['대상 없음'],긍정,긍정
tlsdmswl0725,가족들이랑 저녁 먹으러 갔다 왔어요 음식들이 다 맛있고 매장도 깨끗했어요,2024년 1월 28일 일요일,1번째 방문,긍정,['음식들'],['대상 없음'],긍정,-
골드곰돌이,사람이 많아서 복잡하긴 하지만 맛있게 잘 먹었습니다,2024년 2월 10일 토요일,1번째 방문,긍정,-,-,긍정,-
ㅎ나ㅎ,평일 브런치 다녀왔는데 금요일이라 그런지 사람 엄청 많네요 대게 쓰란 양념 등 갈비 피칸파이 딸기 특히 맛있던 것 같습니다 좌석 간격이 좀 좁고 옆 좌석 이야기가 너무 잘 들리는 것은 좀 아쉬웠어요,2024년 1월 19일 금요일,1번째 방문,부정,['대상 없음'],"['대게 쓰란 양념', '갈비', '피칸파이', '딸기']",긍정,-
빙그레9489,특별한 날 가 기 좋아요,2024년 1월 7일 일요일,1번째 방문,긍정,-,-,긍정,-
히지123,비싼 만큼 값어치 하는 곳 다 맛있는데 디저트 먹을 배는 꼭 남겨 두세요,2023년 11월 12일 일요일,1번째 방문,긍정,['디저트'],['대상 없음'],긍정,긍정
vivajin,좋아요,2024년 5월 25일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
this7686,진짜 진짜 맛나게 먹고 왔습니다 또 가 고 싶네요 진짜 너무 좋았습니다 친절함도 최고 엿을 요,2023년 12월 3일 일요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
YHJ61,굿,2024년 3월 29일 금요일,1번째 방문,긍정,['대상 없음'],['-'],긍정,긍정
zzombie87,신라호텔 파크뷰 뷔페 맛 남 캅 비싸긴 하지만 맛있게 잘 먹고 갑니다 음식이 너무 맛있어서 사진을 못 찍음 집에 가는 길에 로비 장식만 찍습니다,2023년 12월 17일 일요일,1번째 방문,긍정,['뷔페'],['-'],긍정,부정
딩두딩듀,서비스 카도 있고 주차장도 넓고 자리도 지정해 줘서 좋음 계절 음식으로 깔끔하게 되어 있고 근사한 뷰 먹으면서 저녁 먹기에 추천할 곳 저녁에 가서 야경 먹으면서 음식 보자 서울의 중심지 신라호텔 재방문의 사 너무 있음,2023년 10월 19일 목요일,1번째 방문,긍정,-,-,긍정,긍정
냐냥865,메뉴 구성이 알차고 맛있어요 또 가 고 싶다,2023년 10월 22일 일요일,1번째 방문,긍정,-,-,긍정,긍정
근현이,생각보다 음식이 종류가 적어서 속상해요,2024년 1월 18일 목요일,1번째 방문,부정,['대상 없음'],['음식'],부정,-
와구아궁,베스트 메뉴는 양 갈비였습니다 안심 스테이크 회 대게도 진짜 배 터지게 먹었네요 그리고 딤섬류도 은 근 별미에요 막판에 배 불러서 디저트 많이 못 먹은 게 아쉽네요 신라 더 파크뷰 최고,2023년 10월 26일 목요일,1번째 방문,긍정,"['양 갈비', '안심 스테이크', '회 대게', '딤섬류', '대상 없음']",['대상 없음'],긍정,-
asd123364,생일날 3대 호텔 신라호텔로 예약했습니다 재료는 다 신선한 편이였고 음식 종류가 많은 건 아니었어요 다만 있는 음식들이 다 맛있어요 배 불러서 많이 못 먹은 게 후회되네요 디저트 케이크는 정말 끝내주네요,2023년 9월 6일 수요일,1번째 방문,긍정,-,-,긍정,긍정
낭이맘62,역시 신라 더 파크뷰입니다 특별한 메뉴도 메뉴지만 흔한 메뉴들도 참 정갈하고 맛있어요 특별한 날 맘 먹고 가서 맛있는 밥 먹고 왔어요 자주 가기에는 부담이지만 한 번 다녀오고 나면 아주 행복합니다,2023년 10월 21일 토요일,2번째 방문,긍정,-,-,긍정,부정
나라나57,너무 맛있고 분위기 좋습니다,2024년 1월 5일 금요일,2번째 방문,긍정,['맛 긍정'],['대상 없음'],긍정,-
뚠키부인,전통의 신라 메뉴 하나하나 다 훌륭 양 갈비와 안심 너무 연하고 테이블마다 나오는 수프도 맛있어요 베이커리류는 전반적으로 좀 단맛이 강함 12월부터 가격 인상해서 슬픔,2023년 11월 5일 일요일,1번째 방문,부정,"['양 갈비', '안심', '수프']","['베이커리류', '-']",긍정,부정
엔유라,역시 신라호텔 분위기 좋은 곳에서 맛있는 음식 잘 먹고 왔습니다 멀리 보이는 남산타워와 함께 너무 좋은 분위기였어요,2023년 9월 14일 목요일,1번째 방문,긍정,-,-,긍정,긍정
lsh****,신선하고 질이 좋습니다,2023년 10월 9일 월요일,1번째 방문,긍정,-,-,긍정,긍정
또이또이이,오랜만에 디너 왔어요 스파클링 워터 무제한이었고요 전엔 안 그랬던 거 같은데 북경 오리가 참 맛있었어요,2023년 9월 21일 목요일,1번째 방문,긍정,-,-,긍정,-
hay****,대게와 양 갈비를 먹어야 한다고 하더라고요 전체적으로 맛있습니다 하지만 배가 불러 힘들어요,2023년 11월 12일 일요일,1번째 방문,부정,['대상 없음'],['배'],부정,-
하쿠나마타타8510,친구들 모임으로 가서 맛있게 먹고 대접받고 왔네요 양 갈비 맛있다고 하는데 전 양 갈비도 좋았지만 스테이크 정말 맛 있었습니다,2023년 11월 18일 토요일,1번째 방문,긍정,"['양 갈비, 스테이크']",['-'],긍정,-
shf****,말해 뭐 하나요 맛있는 게 너무 많아서 배가 부른 내가 싫을 정도예요,2023년 11월 5일 일요일,1번째 방문,부정,['맛있는 게'],['배가 부른 내가'],긍정,-
듀듀렁,굿,2024년 3월 5일 화요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
악마의 유혹,서비스 굿,2024년 1월 13일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
SINCE2006,신라 신라 했어요,2023년 10월 22일 일요일,1번째 방문,부정,['대상 없음'],['대상 없음'],긍정,-
gudrmfl2,맛나요,2024년 6월 7일 금요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
소나기5954,음식이 맛있어요,2023년 11월 19일 일요일,1번째 방문,긍정,-,-,긍정,-
고려갸2,맛있어 오,2024년 1월 21일 일요일,1번째 방문,긍정,-,-,긍정,-
Happy 깡총깡총,다양한 음식이 많았어요 맛있게 잘 먹었어요 휴일이라 사람이 많았어요,2023년 10월 7일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
이희로,부진 언니 잘 먹고 갑니다,2023년 11월 6일 월요일,1번째 방문,부정,-,-,긍정,-
moolcho,제일 좋아하는 뷔페에 요 가격이 오르고 더 만족도가 올라가네요 물론 가격이 비싸서 자주는 못 가 고 특별한 날에만 갈 수 있지만 맛 구성 시설 직원분들 친절 너무너무 만족하고 갑니다 한번 꼭 가보세요,2023년 6월 20일 화요일,1번째 방문,긍정,-,-,긍정,긍정
s1018j,굿,2024년 2월 25일 일요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
푸른소금8324,초밥이 입에서 녹아요,2023년 12월 17일 일요일,2번째 방문,긍정,-,-,긍정,-
나라나57,다음에 또 갈 거예요,2023년 10월 28일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
정구연63,서울 3대 뷔페 어서 점심 먹었는데 너무 맛있어요 중식 베이징 덕 크림새우 등 최고,2023년 11월 4일 토요일,1번째 방문,긍정,-,-,긍정,-
Sky KQ,너무 맛있어요,2023년 12월 16일 토요일,1번째 방문,긍정,-,-,긍정,-
zi****,가격은 비싸지만 비싼 값어치를 하는 곳 친절한 응대와 서비스도 너무 만족,2023년 10월 15일 일요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
또요미밍,진짜 파크뷰 최고와 또 가 고 싶다 돈 벌어야 하는 이유를 찾음,2023년 7월 31일 월요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
가영573,말해 뭐 해 행복하게 먹고 왔다,2023년 7월 18일 화요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
오닝13,굿,2023년 12월 17일 일요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
아라동 외로운주먹,굿,2023년 12월 2일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
whi****,종류가 다양해요 스 시 맛있었고 고기류는 solo 디저트도 생각보다는 별로였어요,2023년 8월 30일 수요일,1번째 방문,부정,['고기류'],['디저트'],부정,-
duf****,기념일에 가 기 좋고 저는 개인적으로 스테이크 굽기가 딱 제가 좋아하는 굽기라서 제일 맛있게 먹었네요 창가 앉으려면 미리 예약하는 게 좋고 밤에는 잘 안 보여서 창가는 낮에 추천합니다,2023년 5월 1일 월요일,1번째 방문,긍정,-,-,긍정,-
기대서,좋아요,2023년 12월 27일 수요일,1번째 방문,긍정,['대상 없음'],['-'],긍정,-
방귤이,비싸지만 돈이 아깝지 않았던 오 마카 시 먹는 것보다 훨씬 나은 호텔 뷔페 찬양,2023년 6월 11일 일요일,1번째 방문,긍정,-,-,긍정,긍정
코코리383,맛있어요,2024년 5월 28일 화요일,1번째 방문,긍정,['대상 없음'],['-'],긍정,-
gpwlsdl486,음식이 전체적으로 신선하고 너무너무 맛이 좋았습니다 근데 디저트 코너에 있는 오이 라임주스는 맛이 없어요 클라임 모히 또처럼 음식의 느끼함을 없애주는 음료라든지 소화에 도움 될 만한 매실 음료가 좋을 듯해요,2023년 8월 6일 일요일,1번째 방문,부정,"['음식 전체적으로 신선하고 맛 좋음', '매실 음료 좋을 듯해요']",['오이 라임주스 맛 없어요'],긍정,-
쭈콩햇,마카롱 너무 맛 나고 양고기 냄새 안 나서 좋았어요,2023년 10월 19일 목요일,1번째 방문,긍정,['마카롱'],['양고기'],긍정,-
AtoZer,고급 진 셀렉션도 많고 뷔페로써 부족함 없는 구성입니다 분위기나 서비스도 맘에 들었고요 음식 맛이 나 서빙도 친절했어요 사람이 많은 건 뷔페라 어쩔 수 없긴 한데 프라이버시가 아예 없다는 느낌 대화에 방해가 되는 정도는 전혀 아니었어요,2023년 3월 5일 일요일,1번째 방문,긍정,['음식 맛'],['대상 없음'],긍정,긍정
땡큐맘7,뷰도 멋지고 메뉴들도 하나 하나 정성이 가득 담겨 있는 듯 담백하고 맛있었어요,2023년 5월 29일 월요일,1번째 방문,긍정,-,-,긍정,긍정
사악토리,1주년으로 다녀왔는데 완전 만족,2023년 5월 25일 목요일,1번째 방문,긍정,-,-,긍정,긍정
qjfvh1291,모임으로 갔는데 너무 재미있고 맛있었어요,2023년 9월 1일 금요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
후기요정짠,언제 가도 좋은 파크뷰,2023년 7월 9일 일요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
Nayanzz,굿,2023년 10월 21일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,긍정
yo****,생일 전야 저녁에 방문했는데 분위기도 정말 고급 지 고 음식도 모두 훌륭하고 오래간 만에 자연스레 과식했네요 가격이 있는 만큼 특별한 날 가기에 딱인 거 같아요,2023년 3월 2일 목요일,1번째 방문,긍정,['음식'],['-'],긍정,긍정
re2na,친절하고 맛있어요,2023년 7월 15일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
kyu****,좋아요,2023년 11월 6일 월요일,1번째 방문,긍정,['대상 없음'],['-'],긍정,-
ciao4,중식 메뉴 일식 메뉴 순으로 좋았어요 안쪽 2인석이었는데 조금 더 밝았으면 싶어요 커피가 맛있었습니다,2023년 7월 25일 화요일,1번째 방문,긍정,-,-,긍정,-
예롱쓰,처음 방문해 보는 더 파크뷰 랜덤이라 하셨는데 창문 자리로 안내해 주셨어요 금요일 저녁이었는데도 설날 전이 긴 했지만 사람 많았어요 확실히 육류보단 해산물이 더 맛있었어 요대게 수율도 좋았습니다 그리고 정말 배부른 와중에도 너무 맛있게 느낀 마카롱들 디저트 넘넘 맛있더라고요 친절함은 말해 뭐 해 너무 좋았습니다,2023년 1월 20일 금요일,1번째 방문,긍정,"['해산물', '대게', '마카롱', '디저트']","['육류', '-']",긍정,긍정
twinmommy,안심 LA 갈비 양 갈비 부드럽고 맛있었어요,2023년 5월 27일 토요일,1번째 방문,긍정,"['LA 갈비', '양 갈비']",['대상 없음'],긍정,-
fre****,메뉴 알차요 디저트도 맛있는데 배가 너무 불러서 대신 탄산음료는 따로 계산하셔야 해요 주차는 아래에 하고 셔틀버스로 올라와서 불편한 건 없었네요 특별한 날 오기 좋겠어요,2023년 4월 12일 수요일,1번째 방문,긍정,['디저트'],['배'],긍정,부정
